Publication Title,PMID,Number of patients,Type of intervention,Drug(s)/Vaccine(s) - if used,"Start date
(if known)","End date 
(if known)","Duration
(in days)",Meta-analysis (Y/N),Type of trial,Retrospective/ Prospective,Geographic location,Date of publication
Characteristics and Outcomes of 21 Critically Ill Patients With COVID-19 in Washington State.,32191259,21,None/Observatory,,,,,No,Case series,,"Washington, USA",19-Mar-20
Functional exhaustion of antiviral lymphocytes in COVID-19 patients.,32203188,68,Drug(s),Empirical antibiotics | Empirical Antivirals | Chloroquine | Interferon-α,,,,No,Case study,," Anhui, China",19-Mar-20
Elevated exhaustion levels and reduced functional diversity of T cells in peripheral blood may predict severe progression in COVID-19 patients.,32203186,16,None/Observatory,,,,,No,Case study,,"Kunming, China",17-Mar-20
Time Kinetics of Viral Clearance and Resolution of Symptoms in Novel Coronavirus Infection.,32200654,16,None/Observatory,,28-Jan-20,9-Feb-20,13,No,Case study,Retrospective,"Beijing, China",23-Mar-20
Effect of gastrointestinal symptoms on patients infected with COVID-19.,32199880,254,Drug(s) | ECMO,Empirical Antivirals | Empirical antibiotics | Immunoglobulin | Hormones,20-Dec-19,9-Feb-20,52,No,,,"Wuhan, China",18-Mar-20
Viral dynamics in mild and severe cases of COVID-19,32199493,76,Drug(s) | Oxygen support,Lopinavir/Ritonavir | Moxifloxacin,21-Jan-20,4-Feb-20,15,No,Observational study,,"Nanchang, China",19-Mar-20
Imaging Features of Coronavirus disease 2019 (COVID-19): Evaluation on Thin-Section CT.,32204990,53,Other,,,,,No,Case study,Retrospective,"Beijing, China",20-Mar-20
Self-reported olfactory and taste disorders in SARS-CoV-2 patients: a cross-sectional study.,32215618,59,None/Observatory,,,,,No,Cross-sectional study,Retrospective,"Milan, Italy",26-Mar-20
Temporal profiles of viral load in posterior oropharyngeal saliva samples and serum antibody responses during infection by SARS-CoV-2,32213337,23,Other,,22-Jan-20,12-Feb-20,22,No,Observational cohort study,Prospective,"Hong Kong, China",23-Mar-20
"SARS-CoV-2 Transmission in Patients with Cancer at a Tertiary Care Hospital in Wuhan, China.",32211820,"1,524",None/Observatory,,30-Dec-19,17-Feb-20,50,No,Cross-sectional study,Retrospective,"Wuhan, China",25-Mar-20
"Association of Cardiac Injury with Mortality in Hospitalized Patients With COVID-19 in Wuhan, China.",32211816,416,Drug(s) | Oxygen support,Empirical antibiotics | Glucocorticoids | Empirical Antivirals | Immunoglobulin,20-Jan-20,10-Feb-20,22,No,Cohort study,Retrospective,"Wuhan, China",25-Mar-20
Initial Experience of an Emergency Department in Shenzhen in Responding to the Emerging Wuhan Coronavirus Pneumonia,32216893,419,None/Observatory,,10-Jan-20,3-Feb-20,25,No,Descriptive study,,"Shenzhen, China",1-Apr-20
Posttraumatic stress symptoms and attitude toward crisis mental health services among clinically stable patients with COVID-19 in China,32216863,714,None/Observatory,,,,,No,,,China,27-Mar-20
Review article: gastrointestinal features in COVID-19 and the possibility of fecal transmission.,32222988,"2,023",None/Observatory,,,,,No,Single Centre,Retrospective,"Beijing, China",31-Mar-20
A Comparative Study of Chest Computed Tomography Features in Young and Older Adults with Corona Virus Disease (COVID-19).,32235187,72,None/Observatory,,18-Jan-20,3-Feb-20,17,No,Comparative Study,Retrospective,China,31-Mar-20
Hypertension and its severity or mortality in Coronavirus Disease 2019 (COVID-19): a pooled analysis.,32231171,"2,893",None/Observatory,,,,,Yes,Pooled analysis,,,31-Mar-20
"Coronavirus Disease 19 Infection Does Not Result in Acute Kidney Injury: An Analysis of 116 Hospitalized Patients from Wuhan, China.",32229732,116,None/Observatory,,14-Jan-20,13-Feb-20,31,No,Observational study,,"Wuhan, China",31-Mar-20
Evaluation of Nucleocapsid and Spike Protein-based ELISAs for detecting antibodies against SARS-CoV-2.,32229605,214,Other,,18-Jan-20,26-Feb-20,40,No,,,"Wuhan, China",30-Mar-20
"Impact of the COVID-19 Pandemic on Mental Health and Quality of Life among Local Residents in Liaoning Province, China: A Cross-Sectional Study",32244498,263,None/Observatory,,,,,No,Cross-Sectional Study,,"Liaoning Province, China",31-Mar-20
ACE-2 Expression in the Small Airway Epithelia of Smokers and COPD Patients: Implications for COVID-19,32269089,491,None/Observatory,,,,,No,Cross-sectional cohort studies,Retrospective,"British Columbia, Canada",8-Apr-20
A new clinical trial to test high-dose vitamin C in patients with COVID-19,32264963,140,Drug(s),IV vitamin C,,,,No,Single-blind ,Prospective,,7-Apr-20
"Novel coronavirus infection in children outside of Wuhan, China.",32259403,9,None/Observatory,,,,,No,Single‐center study,Retrospective,"Wuhan, China",7-Apr-20
Clinical Characteristics of COVID-19 After Gynecologic Oncology Surgery in Three Women: A Retrospective Review of Medical Records.,32259322,3,None/Observatory,,,,,No,,Retrospective,"Wuhan, China",7-Apr-20
Maternal and Perinatal Outcomes with COVID-19: a systematic review of 108 pregnancies.,32259279,108,None/Observatory,,,,,No,,,"Malmö/Lund, Sweden",7-Apr-20
Laboratory Parameters in Detection of COVID-19 Patients with Positive RT-PCR; a Diagnostic Accuracy Study,32259132,200,None/Observatory,,,,,No,Diagnostic accuracy study,"Retrospective cohort study, two groups","Tehran, Iran",4-Apr-20
Infants Born to Mothers with a New Coronavirus (COVID-19).,32266184,4,Other,,,,,No,Case report,,"Wuhan, China",16-Mar-20
