Publication Title,PMID,Number of patients,Type of intervention,Drug(s)/Vaccine(s) - if used,"Start date
(if known)","End date 
(if known)","Duration
(in days)",Meta-analysis (Y/N),Type of trial,Retrospective/ Prospective,Geographic location,Date of publication
"Clinical characteristics of 145 patients with corona virus disease 2019 (COVID-19) in Taizhou, Zhejiang, China",32342479,145,Other,,1-Jan-20,11-Mar-20,71,No,Case series,Retrospective ,"Zhejiang, China",28-Apr-20
Screening of healthcare workers for SARS-CoV-2 highlights the role of asymptomatic carriage in COVID-19 transmission.,32392129,"1,270",Other,,6-Apr-20,24-Apr-20,19,No,,Retrospective ,"Cambridge, United Kingdom",11-May-20
COVID-19 in people living with human immunodeficiency virus: a case series of 33 patients.,32394344,33,Other,,11-Mar-20,17-Apr-20,38,No,Case series,Retrospective ,Germany,11-May-20
Characteristics and Outcomes of Children With Coronavirus Disease 2019 (COVID-19) Infection Admitted to US and Canadian Pediatric Intensive Care Units.,32392288,48,Drug(s) | Oxygen support,Azithromycin | Hydroxychloroquine | Tocilizumab,14-Mar-20,3-Apr-20,21,No,Cross-sectional study ,Retrospective,USA,11-May-20
Immune Characteristics of Patients with Coronavirus Disease 2019 (COVID-19).,32489708,18,Other,,30-Jan-20,21-Feb-20,23,No,,Retrospective,"Zhejiang, China",17-Mar-20
"Knowledge, attitude and preventive practices related to COVID-19: a cross-sectional study in two Pakistani university populations.",32395069,417,None/Observatory,,22-Feb-20,12-Mar-20,20,No,Cross-sectional study,,"Lahore, Pakistan",9-May-20
"Tocilizumab for Treatment of Severe COVID-19 Patients: Preliminary Results from SMAtteo COvid19 REgistry (SMACORE).
",32397399,112,Drug(s) | Other,Tocilizumab | Hydroxychloroquine | prophylactic dose of low weight Heparin),14-Mar-20,27-Mar-20,14,No,Cohort study,Retrospective,"Pavia, Italy",9-May-20
"Clinical and histological characterization of vesicular COVID-19 rashes: a prospective study in a tertiary care hospital.",32384180,24,Other,Lopinavir/ritonavir | Hydroxychloroquine | Azithromycin,1-Mar-20,20-Apr-20,51,No,Observational study,Prospective,"Madrid, Spain",8-May-20
"Clinical and radiological changes of hospitalised patients with COVID-19 pneumonia from disease onset to acute exacerbation: a multicentre paired cohort study.",32385648,24,Other,,,,,No,Multicentre paired cohort study.,Retrospective,"Hunan, China",8-May-20
"Clinical Time Features and Chest Imaging of 85 Patients With COVID-19 in Zhuhai, China.",32574321,85,Other,,17-Jan-20,24-Feb-20,39,No,Cohort study,Retrospective,"Zhuhai, China",8-May-20
Gastrointestinal and Hepatic Manifestations of 2019 Novel Coronavirus Disease in a Large Cohort of Infected Patients From New York: Clinical Implications.,32389667,"1,059",Other,,4-Mar-20,9-Apr-20,37,No,Cohort study,Retrospective ,"Manhattan, NY, USA",8-May-20
"Epidemiological Analysis of the First 1389 Cases of COVID-19 in Poland: A Preliminary Report.",32379726,"1,389",Other,,3-Mar-20,27-Mar-20,25,No,Cross-sectional study,,Poland,7-May-20
"Clinical course and outcomes of critically ill patients with SARS-CoV-2 pneumonia in Wuhan, China: a single-centered, retrospective, observational study",32105632,52,Other | Oxygen support | Drug(s) | IVIG,Empirical Antivirals | Glucocorticoids | Immunoglobulin (IVIG) | Empirical antibiotics,24-Dec-19,26-Jan-20,34,No,"Single-centered, observational study",Retrospective,"Wuhan, China",24-Feb-20
"Clinical characteristics of coronavirus disease (COVID-19) patients with gastrointestinal symptoms: A report of 164 cases.
",32507692,505,Other,,,,,No,Cohort study,Retrospective,"Wuhan, China",8-May-20
"Clinical findings of patients with coronavirus disease 2019 in Jiangsu province, China: A retrospective, multi-center study.",32384078,202,Drug(s) | Other,Lopinavir/ritonavir | Arbidol | Interferon α2β | Immunoglobulin (IVIG) | Empirical Antivirals | Oseltamivir  | Empirical antibiotics | Corticosteroid,22-Jan-20,10-Feb-20,20,No,Multi-center study ,Retrospective,"Jiangsu, China",8-May-20
"Predictors of mortality for patients with COVID-19 pneumonia caused by SARS-CoV-2: a prospective cohort study.",32269088,179,Other,,25-Dec-19,7-Feb-20,45,No,Single-centre case cohort,Prospective ,"Wuhan, China",7-May-20
Clotting Factors in COVID-19: Epidemiological Association and Prognostic Values in Different Clinical Presentations in an Italian Cohort.,32392741,134,Other,,,,,No,Cohort study,,Italy,7-May-20
Effectiveness of glucocorticoid therapy in patients with severe coronavirus disease 2019: protocol of a randomized controlled trial.,32149773,48,Drug(s),Methylprednisolone ,,,,No,"Open-labeled, randomized, controlled trial",,"Chongqing, China",5-May-20
"Epidemiological characteristics of confirmed COVID-19 in Guizhou province, China.",32367793,135,None/Observatory,,20-Jan-20,12-Feb-20,24,No,Study analysis,Retrospective,"Guizhou, China",5-May-20
Are Gastrointestinal Symptoms Specific for Coronavirus 2019 Infection? A Prospective Case-Control Study From the United States.,32422209,340,None/Observatory,,9-Mar-20,15-Apr-20,38,No,Telephone survey–based case-control study,Prospective,"Maryland, USA",16-May-20
"Correlation Between Chest CT Findings and Clinical Features of 211 COVID-19 Suspected Patients in Wuhan, China",32518804,211,Other,,29-Jan-20,4-Feb-20,7,No,Cohort study,Retrospective,"Wuhan, China",16-May-20
"Efficacy and safety of Lianhuaqingwen capsules, a repurposed Chinese herb, in patients with coronavirus disease 2019: A multicenter, prospective, randomized controlled trial.",32425361,284,Drug(s),Traditional Chinese medicine,2-Feb-20,15-Feb-20,14,No,"A multicenter, open-label, randomized controlled trial",Prospective,China,16-May-20
Low dose of hydroxychloroquine reduces fatality of critically ill patients with COVID-19.,32418114,550,Drug(s),Hydroxychloroquine,1-Feb-20,4-Apr-20,64,No,Cohort study,Retrospective,"Wuhan, China",15-May-20
Clinical characteristics of 9 cancer patients with SARS-CoV-2 infection.,32435272,9,Drug(s),Arbidol | Traditional Chinese medicine,23-Jan-20,29-Feb-20,38,No,Single-institutional review,Retrospective,"Jingzhou, China",14-May-20
Clinical features and outcomes of HIV patients with coronavirus disease 2019.,32407467,47,Drug(s),Empirical antibiotics | Tocilizumab | Azithromycin | Remdesivir | Lopinavir/ritonavir | Hydroxychloroquine | TAF/FTC/bictegravir | ABC/3TC/dolutegravir | TAF/FTC + INI | Dolutegravir/3TC | Dolutegravir + boosted PI,21-Feb-20,16-Apr-20,56,No,Observational study,Retrospective,Italy,14-May-20
"Patients with COVID-19 in 19 ICUs in Wuhan, China: a cross-sectional study.",32410714,226,Other,,26-Feb-20,27-Feb-20,2,No,"A multicenter, observational, cross-sectional study ",Prospective ,"Wuhan, China",14-May-20
"Early decrease in blood platelet count is associated with poor prognosis in COVID-19 patients-indications for predictive, preventive, and personalized medical approach.",32419876,532,Other,,7-Jan-20,28-Feb-20,53,No,Cohort study,Retrospective,"Wuhan, China",14-May-20
"Characteristics and outcomes of patients hospitalized for COVID-19 and cardiac disease in Northern Italy",32383763,99, Oxygen support | Other,,4-Mar-20,25-Mar-20,22,No,Case report,,"Lombardy, Italy",14-May-20
Characteristics and Outcomes of Recipients of Heart Transplant With Coronavirus Disease 2019.,32402056,28,Drug(s),Hydroxychloroquine | Tocilizumab | Glucocorticoids | ,1-Mar-20,24-Apr-20,55,No,Case series,Retrospective,"New York, USA",13-May-20
"Clinical features of coronavirus disease 2019 (COVID-19) in a cohort of patients with disability due to spinal cord injury.",32404896,7,Other,,20-Mar-20,4-Apr-20,16,No,"Observational analysis, case series",Prospective,"Toledo, Spain",13-May-20
Study on transmission dynamic of 15 clusters of coronavirus disease 2019 cases in Ningbo,32397699,52,None/Observatory,,23-Jan-20,4-Feb-20,13,No,Descriptive study,,"Ningbo, China",13-May-20
A Direct Comparison of Enhanced Saliva to Nasopharyngeal Swab for the Detection of SARS-CoV-2 in Symptomatic Patients,32883744,216,Other,,,,,No,Case study analysis,,"Cleveland, Ohio, USA",3-Sep-20
Clinical efficacy of hydroxychloroquine in patients with covid-19 pneumonia who require oxygen: observational comparative study using routine care data.,32409486,181,Drug(s),Hydroxychloroquine,12-Mar-20,31-Mar-20,20,No,Observational comparative study,,France,14-May-20
"Clinical characteristics of rehospitalized patients with COVID-19 in China.",32401361,11,Other,,1-Mar-20,7-Mar-20,7,No,"Single-center, small-sample study",Retrospective,"Hubei, China",13-May-20
"Clinical Characteristics and Reasons for Differences in Duration From Symptom Onset to Release From Quarantine Among Patients With COVID-19 in Liaocheng, China.",32574322,37,Other,,,,,No,Case report,Retrospective,"Liaocheng, China",12-May-20
Clinical Characteristics of 5 COVID-19 Cases With Non-respiratory Symptoms as the First Manifestation in Children.,32574284,5,Other,,23-Jan-20,20-Feb-20,29,No,Case report,,"Wuhan, China",12-May-20
"The impact of laryngopharyngeal reflux disease on 95 hospitalized patients with COVID-19 in Wuhan, China: A retrospective study.",32396239,95,Other,,26-Jan-20,21-Feb-20,27,No,Single‐center study,Retrospective,"Wuhan, China",12-May-20
"Clinical Outcomes in 55 Patients With Severe Acute Respiratory Syndrome Coronavirus 2 Who Were Asymptomatic at Hospital Admission in Shenzhen, China.",32179910,55,Drug(s),Lopinavir/ritonavir,11-Jan-20,29-Feb-20,50,No,Case study analysis,Retrospective,"Shenzhen, China",17-Mar-20
"Perceived infection transmission routes, infection control practices, psychosocial changes, and management of COVID-19 infected healthcare workers in a tertiary acute care hospital in Wuhan: a cross-sectional survey.",32393381,103,None/Observatory,,15-Feb-20,29-Feb-20,15,No,"Cross-sectional, single hospital-based study",,"Wuhan, China",11-May-20
"Prevalence, Severity and Mortality associated with COPD and Smoking in patients with COVID-19: A Rapid Systematic Review and Meta-Analysis.",32392262,"2,473",None/Observatory,,,,,Yes,,Retrospective,"London, United Kingdom",11-May-20
A single centre study of viral community-acquired pneumonia in children: No evidence of SARS-CoV-2 from October 2019 to March 2020,32387967,42,Other,,1-Oct-19,31-Mar-20,183,No,Longitudinal study,Prospective ,"Rome, Italy",29-Apr-20
Epidemiological and clinical characteristics of 136 cases of COVID-19 in main district of Chongqing,32386675,136,Other,,25-Jan-20,20-Feb-20,27,No,Case series,Retrospective,"Chongqing, China",29-Apr-20
"Association of Cardiovascular Disease With Coronavirus Disease 2019 (COVID-19) Severity: A Meta-Analysis",32402515,"4,858",None/Observatory,,1-Nov-19,20-Apr-20,172,Yes,,,"Hubei, China",28-Apr-20
Clinical features of critically ill patients with confirmed COVID-19,32360498,33,Other,,23-Jan-20,23-Feb-20,32,No,Multi-center cohort study,Retrospective,"Zhejiang, China",28-Apr-20
"Clinical features of 95 sequential hospitalised patients with novel coronavirus 2019 disease (COVID-19), the first UK cohort",32353384,95,Other,,10-Mar-20,30-Mar-20,21,No,"Single-centre, cohort study",Retrospective,"Bristol, United Kingdom",27-Apr-20
"Coronavirus disease 2019 among pregnant Chinese women: case series data on the safety of vaginal birth and breastfeeding.",32369656,13,Other,,31-Jan-20,9-Mar-20,39,No,Single centre cohort study,Retrospective,"Wuhan, China",26-May-20
"Analysis of factors associated with disease outcomes in hospitalized patients with 2019 novel coronavirus disease.",32118640,78,Other,,30-Dec-19,15-Jan-20,17,No,,,"Wuhan, China",5-May-20
"Clinical and laboratory predictors of in-hospital mortality in patients with COVID-19: a cohort study in Wuhan, China.",32361723,296,Other,,7-Jan-20,11-Feb-20,36,No,Cohort study,,"Wuhan, China",3-May-20
Eosinopenia and elevated C-reactive protein facilitate triage of COVID-19 patients in fever clinic: A retrospective case-control study.,32368728,989,Other,,31-Jan-20,21-Feb-20,22,No,Case-control study,Retrospective,"Wuhan, China",3-May-20
Clinical features of severe patients infected with 2019 novel coronavirus: a systematic review and meta-analysis.,32566603,"5,328",None/Observatory,,1-Dec-19,12-Feb-20,74,Yes,,,"Guangzhou, China",7-Apr-20
Clinical characteristics of children with COVID-19: a rapid review and meta-analysis.,32566557,"1,667",None/Observatory,,,,,Yes,Case reports and case series,,China,26-Apr-20
"CT differential diagnosis of COVID-19 and non-COVID-19 in symptomatic suspects: a practical scoring method.",32381057,73,Other,,10-Jan-20,28-Feb-20,50,No,Cohort study,Retrospective,"Shenzhen, China",7-May-20
Coronavirus disease 2019 (COVID-19) and cardiovascular risk: A meta-analysis.,32389584,"49,076",None/Observatory,,1-Dec-19,10-Apr-20,132,Yes,,,USA,7-May-20
Characteristics and Early Prognosis of COVID-19 Infection in Fracture Patients.,32379114,10,Other,,1-Jan-20,27-Feb-20,58,No,Cohort study,Retrospective ,"Wuhan, China",6-May-20
"Impact of coronavirus disease 2019 (COVID-19) outbreak on outcome of myocardial infarction in Hong Kong, China.",32367683,149,Other,,1-Nov-19,31-Mar-20,152,No,Single center cross-sectional observational study,,"Hong Kong, China",5-May-20
Identification of a novel coronavirus causing severe pneumonia in human: a descriptive study.,32004165,5,Other | Oxygen support,,18-Dec-19,29-Dec-19,12,No,Descriptive study,,"Hubei, China",5-May-20
Immune dysfunction leads to mortality and organ injury in patients with COVID-19 in China: insights from ERS-COVID-19 study.,32371949,163,Other,,31-Jan-20,18-Feb-20,19,No,Multicenter cohort study,Retrospective ,China,5-May-20
Factor VIII and Functional Protein C Activity in Critically Ill Patients With Coronavirus Disease 2019: A Case Series.,32539272,10,Other,,1-Apr-20,5-Apr-20,5,No,Case series,,"Maryland, USA",11-May-20
Tocilizumab for the treatment of severe coronavirus disease 2019.,32369191,25,Drug(s),Tocilizumab,,,,No,Cohort study,Retrospective,"Doha, Qatar",5-May-20
Quantitative analysis of chest CT imaging findings with the risk of ARDS in COVID-19 patients: a preliminary study.,32566621,27,Other,,,,,No,Preliminary study,Retrospective,"Chengdu, China",7-May-20
"Clinical characteristics of 16 patients with COVID-19 infection outside of Wuhan, China: a retrospective, single-center study.",32566579,16,Drug(s) | IVIG | Oxygen support | Other,Glucocorticoids | Empirical Antivirals | Empirical antibiotics | Immunoglobulin (IVIG),25-Jan-20,24-Feb-20,31,No,"Single-center, cohort study",Retrospective,"Shaoxing, China",11-May-20
"The epidemiologic and clinical features of suspected and confirmed cases of imported 2019 novel coronavirus pneumonia in north Shanghai, China.",32566574,105,Drug(s) | Other,Empirical antibiotics | Traditional Chinese medicine | Lopinavir/ritonavir,1-Jan-20,15-Feb-20,46,No,Two-center study ,Retrospective,"Shanghai, China",30-Mar-20
Combined use of the neutrophil-to-lymphocyte ratio and CRP to predict 7-day disease severity in 84 hospitalized patients with COVID-19 pneumonia: a retrospective cohort study.,32566572,84,Other,,8-Jan-20,14-Feb-20,38,No,"Single-center, cohort study",Retrospective,China,17-Apr-20
Effectiveness and safety of glucocorticoids to treat COVID-19: a rapid review and meta-analysis,32566564,"13,815",None/Observatory,,,,,Yes,,,China,30-Apr-20
Chest computed tomography for the diagnosis of patients with coronavirus disease 2019 (COVID-19): a rapid review and meta-analysis,32566559,"5,673",None/Observatory,,1-Jan-20,31-Mar-20,91,Yes,,,China,30-Apr-20
"Reduction of secondary transmission of SARS-CoV-2 in households by face mask use, disinfection and social distancing: a cohort study in Beijing, China",32467353,335,Other,,28-Feb-20,27-Mar-20,29,No,Cohort study,Retrospective,"Beijing,China ",28-May-20
"Biologics increase the risk of SARS-CoV-2 infection and hospitalization, but not ICU admission and death: Real-life data from a large cohort during red-zone declaration.",32356577,"1,193",Other,,21-Feb-20,9-Apr-20,49,No,Case‐control cohort study,,"Milan, Italy",1-May-20
"Multicentre Italian study of SARS-CoV-2 infection in children and adolescents, preliminary data as at 10 April 2020.",32400362,168,Drug(s),Lopinavir/ritonavir | Azithromycin | Clarithromycin | Hydroxychloroquine,25-Mar-20,10-Apr-20,17,No,Multicentre cohort study ,Retrospective ,Italy,7-May-20
Association between chest CT features and clinical course of Coronavirus Disease 2019,32364962,195,Other,,31-Dec-19,20-Feb-20,52,No,Case study,Retrospective ,"Hunan, China",22-Apr-20
Initial CT imaging characters of an imported family cluster of COVID-19,32361413,7,Other,,31-Jan-20,11-Feb-20,12,No,Case analysis,Retrospective ,"Gansu, China",22-Apr-20
Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection in Children and Adolescents: A Systematic Review,32320004,"1,065",None/Observatory,,1-Dec-19,3-Mar-20,94,Yes,,,"Pavia, Italy",22-Apr-20
Correlation analysis of the severity and clinical prognosis of 32 cases of patients with COVID-19,32421546,32,Other,,1-Jan-20,20-Mar-20,80,No,Study analysis,Retrospective ,"Huangshi, China",20-Apr-20
"Laboratory surveillance for SARS-CoV-2 in India: Performance of testing & descriptive epidemiology of detected COVID-19, January 22 - April 30, 2020.",32611914,"1,021,518",None/Observatory,,22-Jan-20,30-Apr-20,100,Yes,Surveillance study,,India,20-Jun-20
"A multi-vendor, multi-center study on reproducibility and comparability of fast strain-encoded cardiovascular magnetic resonance imaging.",32056087,15,None/Observatory,,,,,No,Multi-center study,Prospective," Berlin, Germany",13-Feb-20
SARS-CoV-2 RNA detection of hospital isolation wards hygiene monitoring during the Coronavirus Disease 2019 outbreak in a Chinese hospital.,32311449,33,Other,,19-Feb-20,24-Feb-20,6,No,Cohort study,,"Zhejiang, China",18-Apr-20
Prevalence of comorbidities and its effects in patients infected with SARS-CoV-2: a systematic review and meta-analysis.,32173574,"1,576",None/Observatory,,,,,Yes,,,China,12-Mar-20
"High-Resolution Computed Tomography Manifestations of 5 Pediatric Patients With 2019 Novel Coronavirus.",32217900,5,Other,,,,,No,Case report,,"Chongqing, China",25-Mar-20
A multinational report to characterise SARS-CoV-2 infection in people with cystic fibrosis.,32376098,40,Other,,1-Feb-20,13-Feb-20,13,No,Multinational case report,,"Australia, Canada, France, Ireland, Netherlands, New Zealand, UK and US",25-Apr-20
CT imaging of the COVID-19.,32307320,5,Other,,,,,No,Case report,,China,16-Apr-20
"Epidemiologic and clinical characteristics of heart transplant recipients during the 2019 coronavirus outbreak in Wuhan, China: A descriptive survey report.",32362392,87,Other,,,,,No,Single-center descriptive study,Retrospective ,"Wuhan, China",25-Mar-20
Clinical features of 2019 novel coronavirus infection in Beijing.,32642164,16,Other,,19-Jan-20,12-Feb-20,25,No,Case study analysis,,"Beijing, China",25-Feb-20
"Clinical characteristics of COVID-19 infection in chronic obstructive pulmonary disease: a multicenter, retrospective, observational study.",32642086,"1,048",Other,,11-Dec-19,20-Feb-20,72,No,"Multicenter, observational study",Retrospective,China,19-May-20
"Comparison of epidemiological and clinical characteristics of COVID-19 patients with and without Wuhan exposure history in Zhejiang Province, China.",32425002,788,Other,,17-Jan-20,7-Feb-20,22,No,Cohort study,Retrospective,"Zhejiang, China",9-May-20
"Coronavirus Disease 2019 (COVID-2019) Infection Among Health Care Workers and Implications for Prevention Measures in a Tertiary Hospital in Wuhan, China.",32437575,110,Other,,1-Jan-20,9-Feb-20,40,No,Cohort study,Retrospective,"Wuhan, China",21-May-20
Chest X-rays findings in COVID 19 patients at a University Teaching Hospital - A descriptive study.,32582309,30,Other,,20-Mar-20,10-Apr-20,22,No,Descriptive study,Retrospective,"Rawalpindi, Pakistan",18-May-20
"Clinical features of coronavirus disease 2019 in children aged <18 years in Jiangxi, China: an analysis of 23 cases",32434634,23,Other,,27-Jan-20,4-Mar-20,38,No,Case analysis,Retrospective,"Nanchang, Jiangxi, China",15-May-20
"High-resolution computed tomography features of 17 cases of coronavirus disease 2019 in Sichuan province, China.",32139463,17,Other,,,,,No,Study analysis,Retrospective,"Sichuan, China",30-Apr-20
Vaginal delivery in SARS-CoV-2-infected pregnant women in Northern Italy: a retrospective analysis.,32339382,42,Other,,1-Mar-20,20-Mar-20,20,No,Multicentre study,Retrospective,Italy,27-Apr-20
Profile of IgG and IgM antibodies against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).,32337590,41,Other,,11-Jan-20,10-Feb-20,31,No,Comparative study,,"Shenzhen, China",27-Apr-20
"Investigation on a cluster epidemic of COVID-19 in a supermarket in Liaocheng, Shandong province",32340093,"8,437",Other,,30-Jan-20,9-Feb-20,11,No,,,"Liaocheng, Shandong, China",27-Apr-20
"The application of Temporary Ark Hospitals in controlling COVID-19 spread: The experiences of one Temporary Ark Hospital, Wuhan, China.",32343419,"1,124",Other,,,,,No,,,"Wuhan, China",28-Apr-20
Clinical Characteristics of COVID-19 Infection in Newborns and Pediatrics: A Systematic Review,32440661,"2,228",None/Observatory,,1-Jan-20,30-Mar-20,90,Yes,Systematic Review,,"Rasht, Iran",18-Apr-20
"Safety and efficacy of different anesthetic regimens for parturients with COVID-19 undergoing Cesarean delivery: a case series of 17 patients",32180175,17,Other,,30-Jan-20,23-Feb-20,25,No,Case series,Retrospective,"Wuhan, China",16-Mar-20
Anti-IL6R role in treatment of COVID-19-related ARDS.,32290847,21,Drug(s),Tocilizumab | Lopinavir | Methylprednisolone,,,,No,Single arm study,,"Naples, Italy",14-Apr-20
Deep immune profiling of COVID-19 patients reveals distinct immunotypes with therapeutic implications,32669297,125,Other,,,,,No,Cohort study,,"Philadelphia, Pennsylvania, USA",15-Jul-20
"Comorbid Chronic Diseases and Acute Organ Injuries Are Strongly Correlated with Disease Severity and Mortality among COVID-19 Patients: A Systemic Review and Meta-Analysis.
",32377638,"6,263",None/Observatory,,,,,Yes,Systemic review and meta-analysis,,"Hangzhou, Zhejiang, China",19-Apr-20
Lobar Distribution of COVID-19 Pneumonia Based on Chest Computed Tomography Findings; A Retrospective Study.,32440666,63,Other,,,,,No,Case report,Retrospective ,"Tehran, Iran",18-Apr-20
Observational Study of Hydroxychloroquine in Hospitalized Patients with Covid-19,32379955,"1,376",Drug(s),Hydroxychloroquine ,7-Mar-20,8-Apr-20,33,No,Observational study,,"New York, USA",7-May-20
Clinical and coagulation characteristics in 7 patients with critical COVID-2019 pneumonia and acro-ischemia,32447934,7,Other,,5-Feb-20,15-Feb-20,11,No,Study analysis ,Retrospective ,"Wuhan, China",14-Apr-20
Epidemiological characteristics of COVID-19 in Shaanxi province,32244260,245,Other,,23-Jan-20,22-Feb-20,31,No,Case report,,"Shaanxi, China",3-Apr-20
"Serological assays for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), March 2020.",32347204,24,Other,,,,,No,Cohort study,,"Hong Kong, China",23-Apr-20
Anticoagulation outcomes in hospitalized Covid‐19 patients: A systematic review and meta‐analysis of case‐control and cohort studies,33022834,"4,992",Other,,,,,Yes,,,"Cairo, Egypt",6-Oct-20
Viral load of SARS-CoV-2 in clinical samples.,32105638,82,Other,,,,,No,Case report,,"Beijing, China",24-Feb-20
CT in relation to RT-PCR in diagnosing COVID-19 in The Netherlands: A prospective study,32645053,193,Other,,13-Mar-20,24-Mar-20,12,No,Cohort study,Prospective,"Maastricht, The Netherlands",9-Jul-20
Body Mass Index and Risk for Intubation or Death in SARS-CoV-2 Infection: A Retrospective Cohort Study,32726151,"2,466",Other,,10-Mar-20,24-Apr-20,46,No,Cohort study,Retrospective,USA,29-Jul-20
"Coronavirus Disease-19: Summary of 2,370 Contact Investigations of the First 30 Cases in the Republic of Korea.",32257773,"2,370",Other,,24-Jan-20,10-Mar-20,47,No,Case report,,South Korea,20-Mar-20
"The Clinical Characteristics and Outcomes of Patients with Moderate-to-Severe Coronavirus Disease 2019 Infection and Diabetes in Daegu, South Korea",32794386,"1,082",Other,,18-Feb-20,31-Mar-20,43,No,Multi-center observational study ,Retrospective,"Daegu, South Korea",12-Aug-20
Evaluation of a rapid serological test for detection of IgM and igG antibodies against SARS-CoV-2 under field conditions.,32876207,144,Other,,30-Mar-20,31-Mar-20,2,No,Cross-sectional operative study,,"Lima, Peru",28-Apr-20
"Clinical features of children with SARS-CoV-2 infection: an analysis of 13 cases from Changsha, China",32312364,13,Drug(s) | Other,Lopinavir/ritonavir | Arbidol | Interferon α2β,17-Jan-20,29-Feb-20,44,No,Case analysis,Retrospective,"Changsha, China",25-Apr-20
Analysis and suggestions for the preview and triage screening of children with suspected COVID-19 outside the epidemic area of Hubei Province.,32477912,36,Other,,21-Jan-20,10-Feb-20,21,No,Study analysis,,"Chongqing, China",29-May-20
Analysis of the clinical characteristics and early warning model construction of severe/critical coronavirus disease 2019 patients,32527341,155,Other,,20-Jan-20,18-Feb-20,30,No,Study analysis,Retrospective,"Anhui, China",4-Apr-20
Correlation between clinical classification of COVID-19 and imaging characteristics of MSCT volume scanning of the lungs,32376573,102,Other,,18-Jan-20,26-Feb-20,40,No,Study analysis,Retrospective,"Bengbu, China",30-Mar-20
Characteristics and outcomes of COVID-19 in hospitalized patients with and without diabetes,32683744,433,Other,,24-Jan-20,21-Apr-20,89,No,Observational cohort study,Retrospective,"Amiens, France",19-Jul-20
Analysis of baseline liver biochemical parameters in 324 cases with novel coronavirus pneumonia in Shanghai area,32270660,324,Other,,20-Jan-20,24-Feb-20,36,No,Study analysis,Retrospective,"Shanghai, China",20-Mar-20
Bacterial and fungal coinfection among hospitalized patients with COVID-19: a retrospective cohort study in a UK secondary-care setting,32603803,836,Other,,20-Feb-20,30-Apr-20,71,No,"Observational analysis, case series",Retrospective,"London, UK",27-Jun-20
Clinical characteristics of 30 medical workers infected with new coronavirus pneumonia,32062957,30,Other,,10-Jan-20,31-Jan-20,22,No,Case analysis,Retrospective,"Wuhan, China",17-Feb-20
"Effect of bromhexine on clinical outcomes and mortality in COVID-19 patients: A randomized clinical trial.",32983936,78,Drug(s),Bromhexine ,18-Apr-20,28-May-20,41,No,Open-label randomized clinical trial,,"Tabriz, Iran",19-Jul-20
"A predictive score for COVID-19 diagnosis using clinical, laboratory and chest image data.",32721387,100,Other,,17-Mar-20,10-Apr-20,25,No,Cross-sectional study,,"Rio Grande do Sul, Brazil",25-Jul-20
"Knowledge, perception, and practices towards COVID-19 pandemic among general public of India: A cross-sectional online survey",32839725,"2,459",None/Observatory,,1-May-20,15-May-20,15,No,Cross-sectional online survey,,"Andhra Pradesh, India",21-Jul-20
Clinical Characteristics and Outcomes of Community- and Hospital-Acquired Acute Kidney Injury with COVID-19 in a US Inner City Hospital System,32554965,223,Other | Drug(s),Hydroxychloroquine | Tocilizumab | Glucocorticoids,,,,No,Single-center study,Retrospective,"Pennsylvania, USA",18-Jun-20
Management of suspected COVID-19 patients in a low prevalence region.,33000640,100,Other,,16-Mar-20,20-Apr-20,36,No,,,"Palermo, Italy",1-Oct-20
A Retrospective Analysis of the Coagulation Dysfunction in COVID-19 Patients,33030047,88,Other,,1-Feb-20,6-Mar-20,35,No,Study analysis,Retrospective,"Hubei, China",8-Oct-20
Incidence and Risk Factors of Deep Vein Thrombosis in Hospitalized COVID-19 Patients.,32854513,142,Other,,1-Dec-19,1-Apr-20,123,No,Single centered,Retrospective,"Wuhan, China",28-Aug-20
Characteristics of Acute Pulmonary Embolism in Patients With COVID-19 Associated Pneumonia From the City of Wuhan,32726134,25,Other,,1-Jan-20,1-Feb-20,32,No,Case series ,Retrospective,"Wuhan, China",29-Jul-20
"Characteristics and outcomes of patients with COVID-19 admitted to the ICU in a university hospital in São Paulo, Brazil - study protocol.",32876113,300,Other,,30-Mar-20,30-Jun-20,93,No,Cohort study,Prospective/Retrospective (combined),"São Paulo, Brazil",21-Aug-20
"Severe clinical spectrum with high mortality in pediatric patients with COVID-19 and multisystem inflammatory syndrome.",32844958,66,Drug(s) | Other | Oxygen support | IVIG,Empirical antibiotics | Oseltamivir | Glucocorticoid | Immunoglobulin | Enoxaparin | Aspirin,16-Apr-20,21-Jun-20,67,No,Cross-sectional study,,"Sao Paulo, Brazil",14-Aug-20
Dyslipidemia is associated with severe coronavirus disease 2019 (COVID-19) infection,32771919,"6,922",None/Observatory,,,,,Yes,,,"Tangerang, Indonesia",1-Aug-20
"COVID-19 outbreak in Iraqi Kurdistan: The first report characterizing epidemiological, clinical, laboratory, and radiological findings of the disease",32408119,15,Other,,18-Mar-20,7-Apr-20,21,No,Descriptive study,Prospective ,"Iraqi Kurdistan, Iraq",5-May-20
"Clinical predictors of mortality due to COVID-19 based on an analysis of data of 150 patients from Wuhan, China",32125452,150,Other,,,,,No,Multicenter study,Retrospective,"Hubei, China",3-Mar-20
